level 1 category,level 2 category,level 3 category,attribute,valid attribute values
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Brand Name,
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Sub Brand,
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Product Type,All Purpose Putty;Auto Body Filler;Auto Body Repair Kit;Brake System Adapter;Chain Clip;Cream Hardener;Diesel Ring Compressor;Draw Pins;Epoxy Bumper Repair Syringe Kit;Exhaust Repair Kit;Fabric Repair Kit;Fiberglass Cloth;Fiberglass Cloth Tape;Fiberglass Filler;Fiberglass Mat;Fiberglass Repair Kit;Fiberglass Resin;Fiberglass Resin Jelly;Glass Reinforced Filler;Glazing and Spot Putty;Headliner Repair Kit;Jaw Set for Valve Compressor;Leather and Vinyl Repair Kit;Lens Repair Tape;Liquid Hardener;Muffler and Tail Pipe Repair Kit;Muffler and Tailpipe Bandage;Muffler/Tail Pipe Sealer;Nose Nut for Body Dent Repair;Plastic Spreaders;Quick Disconnect Coupler for Brake Bleeder;Rear Window Defogger Repair Kit;Ring Compressor;Rivet Pull and Punch;Self-Adhesive Body Patch;Stripe Eliminator;Stripper Abrasive Wheel;Trim Pad Removing Tool;Valve Spring Compressor;Vinyl Bandage;Vinyl Sealant Repair Kit;Weld On Safety Chain Clip;Weld Repair and Sealer;Window Molding Remover;Windshield Repair;Windshield Repair Kit
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Container Size,
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Compatible Body Material,Adhesive/Filler;Aluminum/Fiberglass/Steel/Wood;Body Filler/Poly Resins;Body Fillers;Fiberglass;Fiberglass/Masonry/Metal/Wood;Fiberglass/Metal;Glass;Liquid Polyester Resin;Masonry/Metal
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Rust Proof,No;Yes
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Packaging Type,Bagged;Boxed;Bulk;Can;Carded;Clamshell
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Material,
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Maximum Operating Temperature,
"Automotive, RV and Marine",Auto Tools and Maintenance,Auto Body Repair,Number in Package,
